,interest_level,latitude,longitude,bathrooms,bedrooms,price,num_photos,num_features,num_description_words,created_year,created_month,created_day
100302,low,40.7751,-73.9481,1.0,2,2475,6,0,50,2016,4,20
100305,low,40.7922,-73.9645,2.0,2,5495,4,4,92,2016,4,2
100307,medium,40.7366,-73.9934,1.0,0,2900,3,6,68,2016,4,17
100308,low,40.6896,-73.9527,2.0,3,3462,4,11,428,2016,4,25
100310,low,40.7324,-74.0081,2.0,1,8400,4,9,80,2016,4,4
100311,low,40.7412,-73.9772,1.0,1,3150,1,1,28,2016,4,21
100314,low,40.754,-73.9678,1.0,0,2600,4,9,63,2016,4,16
100316,low,40.7382,-73.9965,1.0,0,3995,7,5,38,2016,4,22
100317,low,40.764,-73.98,1.0,1,3600,5,6,20,2016,4,17
100318,high,40.7401,-74.0039,1.0,2,5400,5,8,152,2016,4,3
100319,medium,40.7481,-73.9564,1.0,1,2983,12,12,115,2016,4,24
100322,medium,40.7723,-73.948,1.0,1,2400,7,0,85,2016,4,6
100324,low,40.7681,-73.9527,1.0,3,13500,6,13,144,2016,4,15
10033,low,40.7777,-73.9498,1.0,0,1800,4,3,46,2016,6,4
100331,high,40.7951,-73.9676,1.0,1,2700,5,8,100,2016,4,19
100332,low,40.6905,-73.9668,1.0,1,2200,5,2,105,2016,4,11
100333,low,40.7612,-73.9978,1.0,1,3346,6,6,30,2016,4,2
100335,low,40.7906,-73.9687,2.0,3,6000,1,6,4,2016,4,30
100338,low,40.8666,-73.9217,1.0,2,2195,3,2,41,2016,4,6
10034,low,40.7692,-73.9847,1.0,1,5200,8,9,100,2016,6,4
100343,medium,40.7075,-74.0059,2.0,3,4500,11,10,116,2016,4,26
100345,medium,40.6812,-73.9105,2.0,3,2395,8,2,133,2016,4,13
100346,low,41.0412,-73.54,1.0,1,2195,11,14,151,2016,4,15
100348,low,40.7634,-73.9596,2.0,2,5200,4,6,71,2016,4,20
100356,high,40.7307,-73.9837,2.0,4,5800,8,5,105,2016,4,15
100358,medium,40.7242,-73.9878,1.0,0,1975,3,1,22,2016,4,17
100359,low,40.7298,-73.9868,1.0,0,2750,6,1,59,2016,4,12
100360,low,40.7658,-73.9781,1.0,1,3750,8,7,102,2016,4,6
10037,medium,40.7548,-73.9944,2.0,3,4555,7,12,135,2016,6,2
100371,low,40.7437,-73.9585,2.0,2,4890,15,0,49,2016,4,21
100377,low,40.7177,-73.9984,1.0,3,4595,3,3,51,2016,4,10
100380,low,40.763,-73.9579,1.0,2,2800,7,1,53,2016,4,10
100382,medium,40.6663,-73.9402,1.0,1,1800,8,4,57,2016,4,23
100385,low,40.7406,-73.9822,1.0,1,3195,5,2,4,2016,4,17
100386,medium,40.755,-73.9663,1.0,1,2675,5,5,170,2016,4,28
100387,low,40.7621,-73.9956,2.0,2,5450,5,11,151,2016,4,29
100390,low,40.7469,-73.9803,2.0,3,5000,6,13,84,2016,4,29
100391,low,40.7111,-73.8272,1.0,1,1675,1,5,1,2016,4,10
100392,low,40.7182,-74.0148,2.0,2,6200,6,9,146,2016,4,26
100395,low,40.8217,-73.9486,1.0,2,2500,4,5,103,2016,4,15
100399,medium,40.7265,-73.9835,1.0,3,4750,3,1,89,2016,4,27
1004,medium,40.7441,-73.8792,1.0,1,1700,12,2,25,2016,6,21
10040,low,40.7689,-73.9681,1.0,0,2850,3,3,57,2016,6,16
100400,low,40.7032,-73.9914,1.0,0,3035,7,16,164,2016,4,12
100403,low,40.7787,-73.9751,1.0,1,3100,4,2,88,2016,4,4
100406,high,40.7265,-73.9851,1.0,1,3195,10,8,101,2016,4,9
100410,low,40.7491,-73.9789,1.0,2,3450,2,5,179,2016,4,29
100411,medium,40.7793,-73.9496,1.0,1,1895,2,3,64,2016,4,21
100412,low,40.7726,-73.926,1.0,1,2600,6,2,114,2016,4,21
100417,low,40.7462,-73.9757,1.0,1,3175,5,5,73,2016,4,15
100419,low,40.7346,-74.0018,1.0,1,2600,5,4,180,2016,4,7
100422,low,40.7062,-74.0099,1.0,2,3025,5,8,148,2016,4,24
100423,low,40.7704,-73.9566,1.0,1,3790,3,6,114,2016,4,13
100424,low,40.7616,-73.9643,1.0,2,4600,7,1,56,2016,4,27
100427,low,40.755,-73.9636,1.0,3,4450,6,7,139,2016,4,6
100429,medium,40.7588,-73.9907,1.0,3,3200,4,4,46,2016,4,30
100433,medium,40.6911,-73.9822,1.0,1,2769,3,9,148,2016,4,10
100437,low,40.7417,-73.9806,1.0,1,3800,17,5,166,2016,4,7
100438,low,40.7603,-73.995,1.0,2,2595,5,2,47,2016,4,17
100439,low,40.7658,-73.9781,1.0,1,3775,8,5,105,2016,4,9
100440,low,40.8342,-73.9427,1.0,2,1895,0,3,34,2016,4,8
100444,low,40.7604,-73.987,2.0,3,4700,6,9,178,2016,4,13
100445,low,40.746,-73.9754,1.0,2,3495,6,6,116,2016,4,26
100446,low,40.7771,-73.9496,1.0,1,2800,0,3,18,2016,4,16
100449,low,40.7412,-73.9772,1.0,1,3050,10,5,70,2016,4,27
10045,low,40.6577,-73.9055,2.0,3,2300,20,3,200,2016,6,21
100451,low,40.7637,-73.9846,1.0,1,2975,8,8,150,2016,4,12
100454,medium,40.7095,-74.0094,1.0,2,3150,7,7,85,2016,4,19
100457,low,40.7425,-73.9926,2.5,3,15500,6,11,113,2016,4,13
100458,low,40.7088,-74.0143,1.0,2,3300,8,9,140,2016,4,8
100463,low,40.7722,-73.9606,2.0,3,8200,7,3,52,2016,4,13
100464,medium,40.7489,-73.9765,1.0,2,3276,4,6,133,2016,4,24
100465,high,40.7274,-73.9882,1.0,4,5800,4,0,160,2016,4,8
100467,low,40.7512,-74.0026,1.0,1,4030,0,5,1,2016,4,9
100468,medium,40.7593,-73.9962,1.0,1,3129,8,15,153,2016,4,27
100469,low,40.753,-73.9959,1.5,3,4400,8,14,101,2016,4,27
100471,medium,40.8008,-73.9611,1.0,3,2950,8,3,147,2016,4,23
100472,medium,40.7221,-73.9837,1.0,3,4899,7,6,103,2016,4,28
100473,low,40.731,-73.9876,1.0,1,3195,4,2,183,2016,4,8
100475,medium,40.7928,-73.9758,1.0,0,2300,3,5,59,2016,4,26
100477,low,40.753,-73.9695,1.0,2,3500,7,7,92,2016,4,27
100479,medium,40.7302,-73.9826,1.0,2,3250,5,4,54,2016,4,9
10048,high,40.7663,-73.8288,1.0,0,1350,9,4,82,2016,6,12
100482,low,40.7328,-74.0089,1.0,0,2500,8,6,23,2016,4,13
100489,low,40.7992,-73.9674,1.0,1,2450,5,2,218,2016,4,20
100490,low,40.7588,-73.9694,1.0,0,2400,6,5,50,2016,4,21
100491,medium,40.756,-73.9687,1.0,2,2800,7,0,80,2016,4,4
100493,low,40.7612,-73.9978,1.0,0,2600,4,12,86,2016,4,24
100497,medium,40.7297,-73.986,2.0,3,5100,7,7,284,2016,4,12
100498,low,40.7444,-74.0,1.0,2,3600,3,2,65,2016,4,21
100502,high,40.742,-73.9826,1.0,1,1800,6,1,121,2016,4,29
100504,low,40.7976,-73.968,1.0,1,2300,10,3,164,2016,4,13
100509,low,40.7836,-73.9491,1.0,1,2295,4,1,83,2016,4,27
100511,low,40.7868,-73.9504,1.0,1,3138,7,11,123,2016,4,13
100512,low,40.8035,-73.9567,1.0,3,3750,12,10,154,2016,4,15
100514,low,40.708,-74.0149,1.0,2,3097,2,9,99,2016,4,12
100515,high,40.7803,-73.9465,1.0,2,2495,7,1,42,2016,4,5
100518,low,40.7861,-73.9777,1.5,1,3400,3,5,167,2016,4,19
10052,low,40.7032,-73.9914,1.0,0,3156,1,4,146,2016,6,21
100521,low,40.7111,-74.0055,2.0,2,6500,4,9,107,2016,4,28
100523,medium,40.7356,-73.9828,1.0,1,2830,4,4,74,2016,4,20
100524,high,40.7316,-73.9839,1.0,2,3400,11,14,46,2016,4,27
100526,high,40.6167,-73.955,1.0,1,1475,4,4,217,2016,4,9
10053,low,40.6503,-74.0135,0.0,0,2195,3,0,9,2016,6,12
100535,high,40.7852,-73.9777,1.0,0,1795,5,1,64,2016,4,19
100536,medium,40.7842,-73.948,1.0,2,2900,7,14,157,2016,4,12
100543,low,40.7633,-73.9785,1.0,1,3250,7,11,125,2016,4,22
100544,low,40.7443,-73.9859,1.0,0,3125,3,10,98,2016,4,4
100545,medium,40.7462,-73.9757,1.0,1,2695,5,6,109,2016,4,6
100547,medium,40.6905,-73.9668,2.0,2,3000,5,3,10,2016,4,5
10055,low,40.7087,-74.0058,1.0,2,3995,5,11,203,2016,6,16
100551,low,40.7187,-73.9831,1.0,3,4725,7,3,154,2016,4,12
100553,low,40.7489,-73.9732,2.0,4,5800,6,10,82,2016,4,5
100558,medium,40.7331,-74.0055,1.0,1,3795,9,6,106,2016,4,11
100559,low,40.7299,-73.9819,1.0,2,3695,8,4,58,2016,4,21
100560,low,40.7405,-73.9767,1.0,2,3100,4,11,116,2016,4,30
100561,low,40.7449,-73.9812,2.0,3,6150,10,7,102,2016,4,21
100563,medium,40.7775,-73.9483,1.0,1,2550,10,3,13,2016,4,21
100564,low,40.7974,-73.9706,1.0,1,2700,3,2,102,2016,4,30
100567,low,40.7518,-73.9849,1.0,1,3570,7,13,205,2016,4,20
10057,low,40.727,-74.0308,1.0,1,2800,12,3,48,2016,6,29
100571,low,40.7421,-73.9788,1.0,1,2995,8,3,37,2016,4,2
100574,low,40.7603,-73.961,1.0,0,2500,4,6,122,2016,4,22
100577,low,40.7752,-73.9887,2.0,2,5795,20,3,135,2016,4,27
100583,low,40.7081,-74.0065,1.0,2,3460,4,10,279,2016,4,30
100591,medium,40.759,-73.9621,1.0,0,2000,4,4,49,2016,4,8
100593,low,40.71,-74.0143,1.0,0,2595,4,3,102,2016,4,28
100596,low,40.7333,-73.9796,1.0,0,1950,4,0,160,2016,4,26
100597,low,40.7894,-73.9764,1.0,0,2350,1,3,56,2016,4,22
100598,high,40.7427,-73.9794,1.0,2,2999,5,9,43,2016,4,2
100600,medium,40.7865,-73.9744,1.0,2,2500,7,0,56,2016,4,13
100601,low,40.7481,-73.9564,1.0,1,3160,10,6,113,2016,4,19
100602,low,40.7033,-73.92,1.0,2,2000,5,3,165,2016,4,26
100604,low,40.7238,-73.9902,1.0,0,2650,4,7,48,2016,4,27
100605,low,40.7047,-74.0076,1.0,0,3138,1,5,34,2016,4,9
10061,low,40.7466,-73.9779,1.0,2,3200,5,5,90,2016,6,7
100613,low,40.7838,-73.9535,1.0,1,3850,7,5,88,2016,4,16
100614,low,40.7705,-73.9485,1.0,2,2750,7,2,63,2016,4,18
100617,medium,40.7706,-73.9501,1.0,0,1750,4,0,18,2016,4,18
100619,low,40.8441,-73.9406,1.0,4,3200,9,5,42,2016,4,10
100620,low,40.7568,-73.9982,1.0,1,3500,6,14,97,2016,4,7
100622,low,40.6905,-73.9668,1.0,2,3000,5,2,36,2016,4,25
100624,low,40.753,-73.9695,1.0,2,5095,7,7,151,2016,4,20
100626,low,40.8071,-73.9552,2.0,2,3850,5,0,109,2016,4,15
100628,medium,40.7749,-73.9782,1.0,0,2280,5,5,70,2016,4,2
100629,low,40.6461,-73.9617,1.0,0,1850,9,3,9,2016,4,13
100630,low,40.7318,-73.9864,1.0,2,3450,3,0,36,2016,4,15
100633,low,40.7633,-73.9785,1.0,1,3250,7,11,125,2016,4,29
100634,low,40.6774,-73.9583,1.0,2,2900,2,0,40,2016,4,29
100636,low,40.7628,-73.9849,1.0,1,3350,2,4,76,2016,4,15
100638,medium,40.6621,-73.9793,1.0,1,1995,3,2,116,2016,4,12
10064,low,40.7247,-73.9935,1.0,1,4195,5,7,360,2016,6,10
100640,medium,40.8233,-73.9532,1.0,2,1900,7,12,84,2016,4,24
100641,low,40.7343,-74.0094,1.0,1,3850,5,2,32,2016,4,19
100642,low,40.7632,-73.9907,1.0,1,2495,4,3,64,2016,4,20
100644,low,40.745,-73.9863,0.0,1,4475,5,7,230,2016,4,20
100646,low,40.7705,-73.9485,1.0,0,1895,4,3,76,2016,4,21
100648,medium,40.6493,-73.974,1.0,1,2487,12,6,128,2016,4,12
100649,low,40.7729,-73.9485,1.0,3,5100,7,3,75,2016,4,21
100650,low,40.7625,-73.9864,1.0,1,3640,8,3,67,2016,4,12
100657,low,40.8222,-73.94,1.0,2,2100,7,7,164,2016,4,23
100658,medium,40.7586,-73.9838,1.0,2,3505,6,3,65,2016,4,18
100659,low,40.8246,-73.9508,1.0,3,2700,12,7,70,2016,4,19
100660,low,40.7805,-73.9464,0.0,0,2775,8,10,85,2016,4,7
100661,low,40.7974,-73.9708,1.0,0,2350,5,6,92,2016,4,12
100662,medium,40.8021,-73.9392,1.0,2,2250,7,7,70,2016,4,12
100663,medium,40.6898,-73.9797,1.0,0,2441,8,9,201,2016,4,5
100664,low,40.7334,-74.0047,1.0,1,4250,0,5,35,2016,4,7
100670,medium,40.7735,-73.9064,1.0,1,2188,6,5,72,2016,4,21
100671,low,40.7771,-73.9515,1.0,0,1825,4,2,28,2016,4,2
100672,low,40.7601,-73.99,1.0,1,2650,4,1,63,2016,4,18
100677,low,40.7863,-73.971,1.0,0,2190,0,3,80,2016,4,10
10068,low,40.7767,-73.9456,1.0,0,2199,3,5,33,2016,6,24
100684,medium,40.7669,-73.9344,2.0,2,3600,15,21,92,2016,4,20
100685,low,40.7338,-74.0009,1.0,1,4650,4,4,25,2016,4,12
100686,low,40.7494,-73.8801,1.0,2,2500,13,1,55,2016,4,15
100688,low,40.8419,-73.9377,1.0,3,2525,7,10,155,2016,4,16
100689,low,40.7321,-74.008,1.0,1,4500,6,12,97,2016,4,12
100690,low,40.779,-73.9461,1.0,0,2100,5,1,91,2016,4,12
100692,low,40.7292,-73.986,1.0,1,2350,4,1,49,2016,4,6
100694,low,40.7381,-73.992,3.0,3,14000,6,5,375,2016,4,14
100697,low,40.7369,-73.8633,1.0,0,1400,9,6,75,2016,4,18
1007,low,40.7222,-73.9464,1.0,1,2292,5,2,95,2016,6,9
10070,medium,40.7316,-73.9838,2.0,3,5850,7,2,65,2016,6,14
100703,low,40.7559,-73.9658,1.0,0,1850,3,2,42,2016,4,21
100709,low,40.7549,-73.969,1.0,1,3095,5,5,108,2016,4,19
100710,low,40.7198,-73.9991,1.0,0,6650,6,2,127,2016,4,8
100718,low,40.7446,-73.974,1.0,2,3295,6,4,59,2016,4,4
100721,low,40.7826,-73.9509,2.0,2,7930,0,2,61,2016,4,15
100723,medium,40.7238,-73.9902,1.0,1,2999,5,12,45,2016,4,27
100725,medium,40.7854,-73.9752,1.0,0,2100,5,3,46,2016,4,24
100727,low,40.7075,-74.0059,2.0,2,4800,6,9,136,2016,4,27
100729,medium,40.6736,-73.9659,1.0,2,3000,5,4,144,2016,4,8
10073,high,40.8063,-73.9157,1.0,2,2195,5,2,125,2016,6,4
100732,medium,40.7538,-73.974,1.0,1,2800,4,6,60,2016,4,25
100734,low,40.7792,-73.9514,1.0,1,2599,3,5,95,2016,4,24
100735,high,40.7621,-73.9638,1.0,0,1850,5,4,111,2016,4,22
100737,low,40.7785,-73.9759,1.0,0,2575,12,3,97,2016,4,4
100739,low,40.6906,-73.9827,2.0,2,4083,8,8,140,2016,4,14
100740,low,40.764,-73.9799,1.0,2,3600,0,2,1,2016,4,22
100742,low,40.7073,-74.0046,1.0,0,2900,0,3,9,2016,4,6
100743,low,40.7802,-73.9504,1.0,1,1925,3,0,72,2016,4,8
100744,medium,40.7582,-73.9622,1.0,1,3115,6,9,214,2016,4,22
100748,low,40.7348,-73.9865,1.0,2,7000,9,3,81,2016,4,23
100751,medium,40.7409,-73.9812,1.0,2,2600,9,0,24,2016,4,18
100753,low,40.7606,-73.9963,2.0,2,4000,5,11,126,2016,4,16
100765,low,40.7775,-73.9536,1.0,1,2500,6,1,98,2016,4,29
100767,low,40.7081,-74.0065,1.0,2,3400,4,8,186,2016,4,24
10077,low,40.7616,-73.9936,1.0,2,3500,5,1,53,2016,6,17
100770,medium,40.7487,-73.9901,1.0,1,4295,6,13,259,2016,4,24
100772,low,40.8365,-73.9441,2.0,4,3700,12,10,118,2016,4,2
100774,low,40.7993,-73.9625,1.0,1,2500,0,0,9,2016,4,12
100776,low,40.7635,-73.9799,1.0,2,3800,5,4,105,2016,4,30
100789,low,40.7528,-73.9709,1.0,2,3950,8,2,76,2016,4,22
10079,low,40.7087,-73.955,1.0,3,4600,5,4,131,2016,6,23
100791,medium,40.7346,-74.0018,1.0,1,2600,5,4,180,2016,4,26
100793,low,40.7885,-73.9749,1.0,1,2300,3,4,39,2016,4,15
100797,medium,40.6882,-73.9615,1.0,2,2400,6,2,52,2016,4,14
100798,medium,40.7568,-73.9982,1.0,2,3100,4,9,109,2016,4,11
10080,high,40.7756,-73.9846,1.0,1,2995,5,10,117,2016,6,5
100805,low,40.7416,-73.9216,1.0,1,2030,11,6,100,2016,4,9
100808,low,40.7562,-73.9964,1.0,1,3940,0,11,1,2016,4,5
100809,high,40.8064,-73.9181,1.0,1,1500,1,0,37,2016,4,30
100811,medium,40.7462,-73.9757,1.0,0,2350,6,7,126,2016,4,2
100812,low,40.7295,-73.9893,1.0,3,4300,6,1,119,2016,4,8
100813,low,40.7619,-73.9854,1.0,0,3381,0,4,9,2016,4,6
100814,low,40.7373,-74.0042,2.0,2,5495,8,6,95,2016,4,9
